Date,Product_Category,Units_Sold,Unit_Price,Discount_Applied,Final_Price,Revenue,Marketing_Spend,Is_Weekend,Is_Holiday_Season,Macro_Economic_Index
2023-01-01,Eau de Parfum,86,120,0.0,120.0,10320.0,0.0,1,0,106.24
2023-01-01,Eau de Toilette,37,85,0.1,76.5,2830.5,0.0,1,0,106.24
2023-01-01,Home Fragrance,68,45,0.1,40.5,2754.0,0.0,1,0,106.24
2023-01-01,Skincare Bundle,61,150,0.2,120.0,7320.0,500.0,1,0,106.24
2023-01-02,Eau de Parfum,23,120,0.0,120.0,2760.0,0.0,0,0,106.17
2023-01-02,Eau de Toilette,56,85,0.0,85.0,4760.0,0.0,0,0,106.17
2023-01-02,Home Fragrance,59,45,0.0,45.0,2655.0,500.0,0,0,106.17
2023-01-02,Skincare Bundle,88,150,0.2,120.0,10560.0,500.0,0,0,106.17
2023-01-03,Eau de Parfum,64,120,0.2,96.0,6144.0,0.0,0,0,106.09
2023-01-03,Eau de Toilette,54,85,0.0,85.0,4590.0,0.0,0,0,106.09
2023-01-03,Home Fragrance,74,45,0.1,40.5,2997.0,500.0,0,0,106.09
2023-01-03,Skincare Bundle,81,150,0.0,150.0,12150.0,,0,0,106.09
2023-01-04,Eau de Parfum,52,120,0.1,108.0,5616.0,0.0,0,0,106.01
2023-01-04,Eau de Toilette,58,85,0.0,85.0,4930.0,500.0,0,0,106.01
2023-01-04,Home Fragrance,64,45,0.3,31.5,2016.0,1000.0,0,0,106.01
2023-01-04,Skincare Bundle,46,150,0.0,150.0,6900.0,0.0,0,0,106.01
2023-01-05,Eau de Parfum,80,120,0.0,120.0,9600.0,2500.0,0,0,105.93
2023-01-05,Eau de Toilette,28,85,0.1,76.5,2142.0,0.0,0,0,105.93
2023-01-05,Home Fragrance,44,45,0.2,36.0,1584.0,0.0,0,0,105.93
2023-01-05,Skincare Bundle,55,150,0.0,150.0,8250.0,0.0,0,0,105.93
2023-01-06,Eau de Parfum,91,120,0.3,84.0,7644.0,2500.0,0,0,105.85
2023-01-06,Eau de Toilette,83,85,0.0,85.0,7055.0,2500.0,0,0,105.85
2023-01-06,Home Fragrance,36,45,0.0,45.0,1620.0,0.0,0,0,105.85
2023-01-06,Skincare Bundle,83,150,0.0,150.0,12450.0,0.0,0,0,105.85
2023-01-07,Eau de Parfum,81,120,0.3,84.0,6804.0,0.0,1,0,105.76
2023-01-07,Eau de Toilette,65,85,0.2,68.0,4420.0,0.0,1,0,105.76
2023-01-07,Home Fragrance,51,45,0.0,45.0,2295.0,0.0,1,0,105.76
2023-01-07,Skincare Bundle,80,150,0.0,150.0,12000.0,500.0,1,0,105.76
2023-01-08,Eau de Parfum,43,120,0.0,120.0,5160.0,0.0,1,0,105.68
2023-01-08,Eau de Toilette,78,85,0.0,85.0,6630.0,1000.0,1,0,105.68
2023-01-08,Home Fragrance,48,45,0.0,45.0,2160.0,0.0,1,0,105.68
2023-01-08,Skincare Bundle,61,150,0.2,120.0,7320.0,0.0,1,0,105.68
2023-01-09,Eau de Parfum,41,120,0.0,120.0,4920.0,0.0,0,0,105.6
2023-01-09,Eau de Toilette,76,85,0.0,85.0,6460.0,1000.0,0,0,105.6
2023-01-09,Home Fragrance,52,45,0.0,45.0,2340.0,0.0,0,0,105.6
2023-01-09,Skincare Bundle,58,150,0.0,150.0,8700.0,500.0,0,0,105.6
2023-01-10,Eau de Parfum,52,120,0.2,96.0,4992.0,500.0,0,0,105.52
